tweet_id,text,location
ID_1001165784016674816,"Its even worse: Ellicott City, Maryland, recovering from 2016 flood, hammered again #flooding 25- to 30-ft-wide hole N of Main Street, ground and road buckled. utilities off, water ran thru bldgs, Patapsco River up 17.8 ft in 2 hrs, Sunday, record level",Ellicott City Maryland Patapsco River
ID_1001166109771431936,"Watch Video Severe flooding in Ellicott City, Maryland, has submerged vehicles, forced residents to evacuate and caused major damage to homes and businesses. Newsys partners at WMAR",Ellicott City Maryland
ID_1001166885130592256,"Have you seen Eddison Hermond? The Army National Guard member is missing after devastating floods rolled through Ellicott City, Maryland, over the weekend.",Ellicott Maryland
ID_1001166979074412544,"Emergency workers are searching for 39-year-old Eddison Hermond in Ellicott City, which was hit hard Sunday evening by flash flooding from an intense rain storm.",Ellicott City
ID_1001168665688051712,"Search underway for a missing veteran, Eddison Hermond, reportedly swept away helping to rescue others from flash floods in Maryland",Maryland
ID_1001169406649659392,@missingpeople @MissingKids #MemorialDay ἟A἟8Ὢ8ATTENTIONὪ8἟A἟8 MISSING HERO IN FLOOD WATERS in Maryland!,Maryland
ID_1001170106347610112,"Flash floods again rip through Maryland Two 1000 yr. floods in w years. The river rose 17.8 ft in 2 hours. I implore @CNN @MSNBC @CBSNews @Maddow, @ChrisHayes @ChadMeyers to explain why global warming & evaporation causes these rain bombs #ClimateAction",Maryland
ID_1001171005673324544,"Maryland county grapples with devastation left behind by flash flood- County is falsely proud of rebuilding and new businesses put at risk of flooding, because the did nothing to address drainage issues! Malfeasance in part of government officials.",Maryland
ID_1001171081145798656,"Flood waters often carry a lot of debris, which can be dangerous for anyone caught in the water. Debris-clogged culverts are also a common problem.",
ID_1001171607388291072,"RT @fox6now: Man missing in Ellicott City, Maryland flood is Air Force veteran",Ellicott City Maryland
ID_1001171790465589248,RT @WOODTV: #UPDATE: Man missing in Maryland floods identified as 39-year-old Air Force veteran and Army National Guardsman.,Maryland
ID_1001172243605610496,National Guardsman swept away by flash floods in Maryland after trying to rescue others: ▶ #EllicottCity,EllicottCity Maryland
ID_1001172851687378944,News conference in #EllicottCity Maryland as public officials give an update on the flash floods and search and rescue efforts both last night and today,Maryland
ID_1001173231062126592,#INPICTURES:Flash flooding in Maryland:,Maryland
ID_1001177012512350208,Maryland’s governor has declared a state of emergency after raging floodwaters surge through the streets of Elliott City. The community was wracked by similar flooding in 2016.,Elliott City Maryland
ID_1001177250824417280,"An 8-lane bridge in Minnesota collapsed on August 1, 2007. The replacement bridge opened on September 19, 2008.",Minnesota
ID_1001178636697956352,Man missing after Maryland city hit by true flash flood,Maryland
ID_1001179344360755200,RT @KTLAMorningNews: Maryland Governor Declares State of Emergency as Heavy Flooding Ravages Baltimore Region,Baltimore Maryland
ID_1001179661823508480,"WATCH: Officials give updates on Maryland flooding, say they have conducted around 300 rescues and are still trying to locate one missing man swept up in the floodwaters",Maryland
ID_1001185594410582016,"Ellicott City, Maryland flooding: Dangerous flood #waters hit city still recovering from 2016 flood: CBS News #ecology",Ellicott City Maryland
ID_1001188095637803008,"Man missing after 1,000-year flood ravages Ellicott City for 2nd time in two years via @CBSNews WE ARE HERE. PLEASE DONT MAKE ANY SUDDEN MOVES REPENT AND PAY ZAKAAT! PENNANCE! OR. BE. DESTROYED. ὒ5ὣ1ὒ5",Ellicott City
ID_1001188535259615232,Missing Army National Guard member was trying to help a woman rescue her pet from flood waters in Elliott City.,Elliott City
ID_1001188720496672768,"Authorities were searching for a 39-year-old man reported missing after a flash flood raged through historic Ellicott City, Maryland, Sunday evening, severely damaging storefronts and building and sending residents and tourists scrambling for higher ground",Ellicott City Maryland
ID_1001189128661295104,"At least one person is missing following Sundays devastating flooding in Ellicott City, Maryland:",Ellicott City Maryland
ID_1001189263373979648,"Two cars lodged against a building because of the recent flooding in Ellicott City, Maryland.",Ellicott City Maryland
ID_1001189452927160320,New video by CBS News: Wedding party evacuated in Maryland flooding,Maryland
ID_1001191374161629184,"RT @InsideEdition: Army National Guardsman, Eddison Hermond, is missing amid the Maryland floods.",Maryland
ID_1001195058392109056,"BREAKING: Maryland governor declares state of emergency in response to heavy rain, severe flooding in Ellicott City and areas across the state - ABC",Ellicott City Maryland
ID_1001196225650143232,"#MISSING National guardsman and Air Force Veteran Eddison Hermond was swept away while trying to help people during the flooding in Ellicott City, Maryland and is still missing.",Ellicott City Maryland
ID_1001197273773215744,Marylands governor declared a state of emergency as flash flooding has devastated the town of Ellicott City #tictocnews,Ellicott City
ID_1001197466123980800,"Army National Guardsman missing after flash flooding strikes Ellicott City, Maryland for second time in two years --",Ellicott City Maryland
ID_1001200767427072000,"Here is a live look of the damage that was caused by the flooding in Ellicott City, Maryland. Live video courtesy of Fox 5 DC.",Ellicott City Maryland
ID_1001201308609732608,"One person was missing after floods rampaged through the downtown of Ellicott City, Maryland on Sunday. Nearly 7.5 inches of rain fell on the town in just eight hours. More rain is in the forecast",Ellicott City Maryland
ID_1001201316193062912,"One man remained missing after flash flooding tore down historic Main Street in Ellicott City, Maryland, and left a community heartbroken at seeing severe damage less than two years after another devastating flood.",Ellicott City Maryland
ID_1001203964648607744,Post Edited: Flash flooding in historic Maryland town leaves one person missing,Maryland
ID_1001205140878188544,"RT @AP: The Latest: One person is missing in flash flooding that struck historic Ellicott City, Maryland.",Ellicott Maryland
ID_1001205736268058624,Guardsman Hero Who Tried to Save Cat Feared Swept Away in Maryland’s Floods via @TheDailyBeast,Maryland
ID_1001206992684363776,Rescuers Seeking Army National Guard Member Still Missing In Maryland Flooding,Maryland
ID_1001207264093593600,A state of emergency is in effect in a historic Maryland city after powerful flash flooding devastated its downtown. The water neared the second floor of buildings and swept away cars,Maryland
ID_1001208003285192704,"Sgt. Eddison Hermond is missing after being swept away by historic flooding in Ellicott City, Maryland. Witnesses say he was trying to help a woman rescue her cat",Ellicott City Maryland
ID_1001208625895899136,"#UPDATE on @ABC7: A man in his 40s is missing from Ellicott City, Maryland, where this water was raging down Main Street. Video Courtesy: Baltimore Sun. #flooding #MarylandFlooding",Baltimore Ellicott City Maryland
ID_1001211717836156928,"A flash flood emergency has been issued for Ellicott City in Howard County, Maryland. Severe flooding and water rescues have been reported in the area.",Ellicott City Howard County Maryland
ID_1001215486745612288,"Devastating aftermath of historic flooding in Ellicott City, Maryland • • • • • #drones #dronesdaily #dronephotography #aerialphotography #dronegear #dronefly #dronelife #instadrone #dronestagram #droneoftheday #fromwhereidrone #airvuz #drone #dj",Ellicott City Maryland
ID_1001215652097650688,"There has been terrible devastation after flood waters rushed through Ellicott City, Maryland, U.S., toppling buildings & upending cars & a months worth of rain has fallen in parts of the West Midlands, UK, in just an hour. Climate change is real. Weather patterns are changing.",Ellicott City Maryland U.S. UK West Midlands
ID_1001216547241779200,"Rescuers are searching for a 39-year-old National Guard member Monday who was reported missing a day after he was swept away by fast-moving floodwaters in Maryland’s Ellicott City while attempting to rescue people during devastating floods, family and of",Ellicott City Maryland
ID_1001218367443828736,"Fort Lauderdale News Search Reviews (Flash Floods Rip Through Ellicott City, Maryland) Fort Lauderdale News -",Ellicott City Fort Lauderdale Maryland
ID_1001219052621221888,"LATEST: National Guardsman reported missing after devastating flash flooding sweeps through Ellicott City, Maryland.",Ellicott City Maryland
ID_1001220219413630976,Wow! We thought our flash flooding was bad in the Midlands yesterday. This is #FlashFlooding in Maryland USA where a state of Emergency has been declared. @GMB,Maryland USA
ID_1001221314336706560,"Footage of flooding in Ellicott City, Maryland courtesy of Zach Landow.",Ellicott City Maryland
ID_1001223365062004736,AP: RT APSouthRegion: Aerial footage shows damage after flash flooding rips through central Maryland city.,Maryland city
ID_1001229776240201728,Rescuers seek 1 man still missing H #EllicottCity #Floods #HowardCountyMDNews #LatestNews #LocalNews,EllicottCity
ID_1001230402286161920,Edison Hermond National Guard missing in Maryland food Let us pray..,Maryland
ID_1001230468304572416,A Maryland man remains missing after Ellicott City’s destructive flash flooding,Ellicott City Maryland
ID_1001231015275311104,RT @FriendEden100: Climate Change: Maryland Governor Declares State of Emergency After 6 Hours Of Heavy Rain Caused Severe Flash Floods htt,Maryland
ID_1001233971315953664,"National Guardsman missing after flash flooding devastates Ellicott City, Maryland. @David_Kerley reports.",Ellicott City Maryland
ID_1001242001331949568,Mean while in the world of things that’s actually happened A State of Emergency Has Been Declared as Flash Floods Strike a Maryland City - TIME,Maryland City
ID_1001243641820610560,This is my Town. Always the victim to natural forces while lacking the infrastructure changes and drainage re-direction and disbursement. My driveway was under a foot of raging water. Could not see the grass for the racing food water.,
ID_1001243755142266880,"Governor declares emergency as Maryland floods: May 28 (UPI) -- Maryland Gov. Larry Hogan declared a state of emergency after flash flooding ripped through Ellicott City, submerging the first floor of businesses. - UPI",Ellicott City Maryland
ID_1001244884160966656,WEATHER WATCH: Tuesday at 7:20 AM ET on #FaultLines - Emmy Award Winning Meteorologist Zach Daniel (@ZachDanielCBS6) talks #Flooding in #Baltimore/#Maryland and #Hurricane season kicking off with subtropical storm #Alberto.,
ID_1001245096690450432,"Good News: Most Beautiful Place, HdG Shines Blue, Duckling Rescue",
ID_1001245514183135232,Howard County officials are searching for a Maryland National Guardsman reported missing from Sunday’s devastating floods. Police say he was helping search for a missing cat when he was last seen.,Howard Maryland
ID_1001246972412596224,Catastrophic flash floods hit outside Baltimore; crews conduct water rescues #Maryland #News #Twitter #WorthyNews,Baltimore Maryland
ID_1001248057571336192,Catastrophic Floods: 1 Missing in MD From The Weather Channel iPhone App,MD
ID_1001250899719835648,US FLASH FLOODS 7 DRAMATIC VIDEO - Drone footage reveals extent of flood damage to Maryland city. STORY #4155985,Maryland
ID_1001251366201937920,"39-year-old Eddison Hermond of Severn, Maryland, was last seen trying to help a woman rescue her cat behind a restaurant while churning, brown waters ripped through Ellicott City’s flood-prone downtown.",Ellicott City Maryland
ID_1001251539225325568,"Eddison Hermond, a National Guard sergeant who is believed to have been swept away while helping a woman find her cat during Ellicott City flooding, is still missing",Ellicott
ID_1001251792884191232,Man missing in Maryland flood was helping woman rescue cat :Auto pickup by wikyou,Maryland
ID_1001253451257516032,DML TV: Aerial footage shows damage after flooding rips through Maryland city via @realDennisLynch,Maryland
ID_1001255382860185600,Maryland flooding: Rescuers search for Air Force veteran as Ellicott City assesses damage,Ellicott City Maryland
ID_1001255802286559232,A man remained missing Monday after flash flooding tore down a historic main street in a picturesque Maryland town and left a community heartbroken at seeing more devastation less than two years after rebuilding from another massive flood. Story:,Maryland
ID_1001258377337561088,Fears for hero soldier swept away in Maryland flash floods,Maryland
ID_1001258698772221952,I couldnt watch the whole video. HeartὉ4Breaking. Officials said National Guard -Eddison Hermond- was holding a door to a restaurant closed until he and others left to assist a woman whose cat had gone missing. Witnesses said they saw Hermond go under water ὢ2ὢDὢ2 PrayersὤFἿB,
ID_1001259874360201216,The governor of Maryland declared a state of emergency after severe flash floods,Maryland
ID_1001260095223758848,"One person is missing after a flash flood in Ellicott City, Maryland. Its the second time the city has dealt with catastrophic damage in just two years.",Ellicott City Maryland
ID_1001264739765415936,Ocean Sciences Article of the Day - Man missing after Maryland flash flood was helping woman rescue her cat (The Guardian),Maryland
ID_1001269753045028864,"#Flashflood tears out street poles on #EllicottCity street A flash flood devastated the main street in Ellicott City, #Maryland, just two years after another devastating flooding event hit the Baltimore suburb.",Baltimore Ellicott City EllicottCity Maryland
ID_1001270650462449664,"Rescue workers are searching for a National Guardsman who went missing after flash floods swept through Ellicott City, Maryland, on Sunday.",Ellicott City Maryland
ID_1001271954014392320,One person is missing after serious floods in central Maryland. Streets turned into rapids after 8 inches of rain fell in 3 hours.,Maryland
ID_1001272833975242752,Officials continue to aggressively search for National Guardsman reported missing in Ellicott City flood,Ellicott City
ID_1001273516241702912,‘Washed away real quick’: Missing Maryland resident and U.S. military member Eddison Hermond was trying to help woman trapped by flood in Ellicott City:,Ellicott Maryland
ID_1001275888409997312,God bless this kind man..i hope so much some way he is found alive. Rescuers seek 1 man still missing after Maryland flash flood,Maryland
ID_1001276312235970560,#NationalGuard member and #AirforceVeteran #EddisonHermond is missing while doing rescue work in devastating historic flood in Maryland. Reportedly he was helping a woman find her lost pet. #PrayforEddison,Maryland
ID_1001278542347415552,"Authorities in Maryland say a 39-year-old man is missing after heavy flooding inundated the streets of Ellicott City, the town that had only recently recovered from flooding in 2016",Ellicott City Maryland
ID_1001280784261566464,"In Maryland, Ellicott City Gets Hit By Devastating Flash Floods, Again: People in Ellicott City, Md., are surveying the damage to their homes and businesses after a historic flash flood raged through the city — the second in as many years. NPRs Mary",Ellicott City Maryland
ID_1001281739233247232,RT @WashTimes: Officials search for missing National Guardsman swept away in Ellicott City flood. #EllicottCityFlood,Ellicott
ID_1001285030637965312,"One man is missing after devastating flash flooding swept through Ellicott City, Maryland, turning streets into rivers and carrying away cars.",Ellicott City Maryland
ID_1001285366241005568,"Ellicott City, Md., Suffers Flash Flood, Ravaging Main Street; 1 Man Missing",Ellicott City Md.
ID_1001296492546658304,"RT @disasteraware: #FLOOD New Alert: Flooding - Maryland, United States, Severity: WARNING",Maryland United States
ID_1001297667685847040,"One person is reported missing following a massive storm that brought flash flooding to Ellicott City, Maryland, a Howard County official says",Ellicott Howard Maryland
ID_1001302933521170432,Historic city in Maryland is devastated by extreme flash floods,Maryland
ID_1001306810198839296,"Hey guys, I really need your help. Here in Maryland we’ve been hit with this storm pretty bad. A city I love is currently ripped apart from flooding. If you can’t donate with the link below, please retweet to get the word out. Thank you.",Maryland
ID_1001307181675896832,RT @DBoboshie_: I’m trying to understand what rain did all that damage in Maryland !!,Maryland
ID_1001310918800748544,@FoxNews Donate the proceeds to clothing of the people in Maryland whove lost everything in floods.,Maryland
ID_1001318611116478464,"Ellicott City, MD got pummeled yesterday by flash flooding, again.",Ellicott City MD
ID_1001323269918679040,RT @HomefrontHugs: #MissingAirman #Maryland #USAF #NationalGuard #MemorialDay help RT and find him please! http,Maryland
ID_1001329975256141824,"Watch Cars swept away as flash floods rage through Ellicott City, Maryland on YouTube -",Ellicott City Maryland
ID_1001338166362554368,"Newsweek Man Remains Missing as Ellicott City, Maryland, Begins Cleaning Up After Flood The Weather Channel For the second time in two years, Ellicott City, Maryland, dealt with extreme flooding Sunday after a half-foot of rain fell in two hours.",Ellicott City Maryland
ID_1001338686376525824,"Flash floods ravage Maryland town: A state of emergency was declared in Howard County, as a massive storm drenched the Baltimore region, triggering flash floods in Ellicott City and leaving one person missing.",Baltimore Ellicott City Howard Maryland
ID_1001352725978808320,"Man Remains Missing as Ellicott City, Maryland, Begins Cleaning Up After Flood @weatherchannel ? utm_medium=social&utm_source=twitter&cm_ven=Twitter&cm_cat=;cm_pla=tw_feed&cm_ite=tw_social_tweet Pray that hes foundὤF",Ellicott City Maryland
ID_1001358046231257088,Man missing after Maryland flash flood was helping woman rescue her cat #AGENDA21 #SUSTAINABILITY,Maryland
ID_1001359049089265664,"Maryland county grapples with devastation left behind by flash flood One man remained missing after flash flooding tore down historic Main Street in Ellicott City, Maryland.",Ellicott City Maryland
ID_1001359542880538624,#919Blog ὊC ABC11 What we know about Maryland National Guardsman missing after Ellicott City flood ” #RaleighNC #DurhamNC #RDU #Triangle #NC .,Ellicott Maryland
ID_1001360608430829568,Washed away real quick: Missing Md. man was trying to help woman trapped by flood Washington Post Historic Maryland Town Hit by a Second Devastating Flood Since 2016 Wall Street Journal They have,Maryland Washington
ID_1001361276428222464,"One missing in raging flood waters that washed out Ellicott City, Maryland",Ellicott City Maryland
ID_1001366994271207424,"Significant damage in Ellicott City, Maryland after major floodwaters tore through the area this holiday weekend.",Ellicott City Maryland
ID_1001375097985249280,"Massive Flooding Destroys Maryland City, Again",Maryland City
ID_1001386251319238656,"Ellicott City flood: Man missing after 1,000-year torrents devastate Maryland",Ellicott City Maryland
ID_1001386813251051520,TODAY clean up continues in Maryland after the devastating floods.. while the search continues for a missing man. We’re tracking the latest on @WMTWTV,Maryland
ID_1001393979089457152,"Next at 5:30AM, incredible images from Maryland after historic flooding. Hundreds evacuated. #ABC11",Maryland
ID_1001397894983962624,EXTREME WEATHER. Desperate search for a National Guardsman now underway after he was swept away helping with rescues in the Maryland floods,Maryland
ID_1001400975805075456,"39 yr old active duty National guardsman, Eddison Hermond disappeared as flood waters swept thru Ellicott City, Maryland, while trying to rescue a woman. Praying.ὤF",Ellicott City Maryland
ID_1001410837075111936,I liked a @YouTube video Roads submerged as severe flash flooding hits Maryland,Maryland
ID_1001413677722021888,No words to describe the devastation after Ellicott City flooding in Maryland #EllicottCityMD #ECFlood #EllicottCity #FlashFloods #FlashFloodWarning #PublicSafety #PSA #Maryland #USNews #News #WeatherAdvisory #Floods #NWS,Ellicott City Maryland
ID_1001420066141999104,Missing guardsman from Maryland swept away in Flood Waters while attempting to help people. We are all praying for his safe return,Maryland
ID_1001423059365056512,RT @TODAYshow: Desperate search continues for National Guardsman swept away in Maryland floods,Maryland
ID_1001424113284464640,RT @johnmccaa: National Guardsman swept away by flash floods in Maryland after trying to rescue womans cat - NY Daily News /,Maryland
ID_1001427955741089792,Tuesday May 29 - Morning Update: A National Guard member helping a woman during the Maryland floods has gone missing; The UK government is set to change the law after menstruating women were left to bleed in police custody Via @BuzzFeedNews @elamin88,Maryland UK
ID_1001431419518779392,"As Climate Change increases, we will be seeing more and more extreme weather events; flash flooding in areas not normally seen, etc. Do not ignore warnings!",
ID_1001431515123912704,"Search Underway for Missing National Guardsman After 1,000-Year Flash Flood Tears Through Ellicott City, Maryland - by RO Water Filter",Ellicott City Maryland
ID_1001432268135698432,Video Footage Shows Devastation Left From Maryland Flooding,Maryland
ID_1001432691470929920,Search Underway for Missing Veteran Swept Away After Trying to Rescue Cat During Historic Maryland Flooding #EllicottCityFlood,Maryland
ID_1001435373476700160,Man still missing after Maryland flash flood. Two floods in two years in Ellicott City have residents wondering whether to rebuild. #flooding #Maryland,Ellicott City Maryland
ID_1001437168001343488,Tragic. A whole car full of dead or seriously injured young people.,
ID_1001437660806860800,"For the second time in two years, flash floods rip through Ellicott City, Maryland",Ellicott City Maryland
ID_1001438641800056832,WATCH: Massive Flooding in Maryland. Joining Many Other Recent Natural Phenomena - @IsraelVideos,Maryland
ID_1001439980995178496,"RT @AMHQ: Were surveying the flooding damage in Ellicott, Maryland LIVE all morning:",Ellicott Maryland
ID_1001443716320579584,unbelievable - the damage flash flooding did here #komonews,
ID_1001444922552193024,RT @BethQuarterman7: National Guard member missing after flash flooding strikes Maryland city. Please pray #PrayforMilitary,Maryland
ID_1001445113523068928,Hope for a #Hero ὠ7 in #EllicottCity #Flood #Donate #Volunteer Your #CentralMaryland #RealEstate Connection #mmmarylandhomes,EllicottCity
ID_1001449160774705152,"With a Roar, Flash Flood Smashes Into a Maryland Community Roaring flash floods struck a Maryland city Sunday that had been wracked by similar devastation two years ago, its main street turned into a raging river that reached the first floor of some buil",Maryland
ID_1001449853602488320,RT @EvaPilgrim: Search continues for man missing after flash flooding in MD destroys town.,MD
ID_1001450225641447424,Heavy flooding in Maryland leaves one missing and extensive damage,Maryland
ID_1001454620747620352,Maryland Governor declares state of emergency after flash flooding HeatMap Column 4> #Flood #Flooding #Floods,Maryland
ID_1001455975113650176,Maryland National Guardsman Swept Away in Flood During Attempted Rescue: Sgt. Eddison Hermond,Maryland
ID_1001456243670683648,"In Maryland, Elliot City was devastated by floods over the weekend. Will this town choose to rebuild or retreat in the face of disastrous climate change?",Elliot City Maryland
ID_1001462070267834368,Flash flooding in Maryland causes serious damage. READ MORE:,Maryland
ID_1001466003451244544,One man missing after devastating flash floods in Maryland - : NBC 10 Philadelphia One man missing after devastating flash floods in Maryland The missing man - 39-year-old Eddison Hermond - was last seen,Maryland Philadelphia
ID_1001467861745917952,"COMING UP: @CBSThisMorning reports from Maryland with damage from flash flooding and along the Gulf Coast, where people are evacuating ahead of the first named storm of the season.",Maryland
ID_1001475136841756672,Rescuers search for hero soldier swept away in Maryland floods,Maryland
ID_1001478314303852544,"All of these major disaster are happening because that Nibiru system is near and it has a strong thresh hold on planet Earth. ⚡️ Heavy rain and flash flooding devastate Ellicott City, Maryland”",Ellicott City Maryland
ID_1001484056637394944,Guardsman reported missing in raging flood waters that washed out parts of Maryland:,Maryland
ID_1001486280025411584,Latest: Maryland flooding: Drone footage shows extent of damage in Ellicott City,Ellicott City Maryland
ID_1001488104446885888,"RT @arirangtvnews: ▪ MARYLAND FLOOD Devastating #flood hits Ellicott City, #Maryland, one missing",Ellicott MARYLAND Maryland
ID_1001493612977418240,.@MD_DLLR has services available for those affected by flooding. See below and visit for more information.,
ID_1001497630403366912,Search crews in Maryland are trying to find a National Guardsman who was whisked away by flash floods while trying to help someone 9&10 News,Maryland
ID_1001498263432949760,Fears for National Guardsman swept away in Maryland flash floods via @MailOnline,Maryland
ID_1001499273719148544,Flash flooding leaves trail of damage in Maryland town - BBC News US. This. Is. #climatechange. Get it? @CorpCommAZ @tomforese @BobStump @WSJ @nytimes @NARUC @Edison_Electric @TwitterAPI @CHonorableEsq @CLaFleurFERC @WorkatFERC @FERCRPowelson @FERCAttack,Maryland
ID_1001504200545599488,"Video: Aftermath of Sundays devastating flash flooding in Ellicott City, Maryland. One National Guardsman is missing as a result of the flooding.",Ellicott City Maryland
ID_1001511044215443456,Flooded homes and businesses. Crumpled cars. Residents in one rain-soaked Maryland mill town wonder whether to rebuild or leave.,Maryland
ID_1001512894117400576,"The @usairforce veteran was last seen trying to help a woman and her cat behind a restaurant during the flooding of the county seat of Howard County, #Maryland.",Howard County Maryland
ID_1001514317831966720,#Flooding submerged parts of Maryland on Sunday prompting water rescues & road closures -,Maryland
ID_1001515377938092032,Body found in Patapsco River days after Ellicott City flooding via @WUSA9,Ellicott City Patapsco River
ID_1001519892468772864,"@OfficialTAZ Sadly, its now confirmed that one man has died. A Maryland National Guard soldier died trying to rescue someone in that flood.",Maryland
ID_1001520819900698624,Heard they found the body of missing National Guard member Eddison Hermond. The 39-year old tried protecting others at a restaurant by holding doors closed during flash flooding in Ellicott City Maryland. Swept away trying to find a woman’s cat.,Ellicott City Maryland
ID_1001521366926086144,"Updating our previous story, the body found by searches in Marylands Patapsco River has been identified as Sgt. Eddison Hermond, who has been missing since Sundays flash flood in Ellicott City.",Ellicott City Marylands Patapsco River
ID_1001522132457807872,"JUST IN: Howard County police say the body of Eddison Alexander Hermond, who went missing during destructive flash flooding in Maryland after trying to help a woman rescue her cat, was found by searchers",Howard County Maryland
ID_1001522168193343488,"Missing national guardsman Eddison Hermond has been found after being swept away in a flash flood in Maryland. Unfortunately, he didn’t survive. My thoughts and prayers are with his family.",Maryland
ID_1001522378017595392,RT @JaimeMarieBerg: UPDATE: Body identified as missing veteran who was swept away in flash flooding in Maryland. #9news,Maryland
ID_1001523660509806592,"All of #Maryland is under a state of emergency, says Gov. Larry Hogan, after catastrophic flooding in #EllicottCity and #Baltimore. Read more about this 1000 year flood >>",Baltimore EllicottCity Maryland
